method,mode,atom,base,heldout,frac,dose,dt,clamped,amplitude,radius,c_tan,delta_norm,h_norm,delta_frac,off_manifold,validity_radius,within_validity,predicted_nats,predicted_nats_pathint,predicted_nats_tangent,measured_kl
manifold,on_chart,0,31,False,0.01,-0.01,-0.10459546415478818,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,1.773989719730548,1520.4826177994757,0.0011667280500042556,4.3404504652262744e-13,0.006537216509674261,False,0.00016786773137489054,0.0007919247450453113,3.8905082889735346e-05,0.00017439535059249654
linear_norm,on_chart,0,31,False,0.01,-0.01,,,,,,1.773989719730548,1520.4826177994757,,,,,6.187718690097854e-05,,,5.451558937866755e-06
linear_fisher,on_chart,0,31,False,0.01,-0.01,,,,,,1.773989719730548,1520.4826177994757,,,,,4.832002898559164e-06,,,5.451558937866755e-06
manifold,on_chart,0,31,False,0.02,0.02,0.20947837998687904,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,66.26443258967362,1520.4826177994757,0.04358118390434155,1.499469390068248e-11,0.006546199374589971,False,0.2324244552539577,0.05793358013944875,0.05428315913240664,0.17204943387054322
linear_norm,on_chart,0,31,False,0.02,0.02,,,,,,66.26443258967362,1520.4826177994757,,,,,0.08633548456203621,,,0.01380058974380045
linear_fisher,on_chart,0,31,False,0.02,0.02,,,,,,66.26443258967362,1520.4826177994757,,,,,0.006741956649061434,,,0.01380058974380045
manifold,on_chart,0,31,False,0.02,-0.02,-0.20947837998687904,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,21.826885407961907,1520.4826177994757,0.014355235076314749,4.953116497144997e-12,0.00654619937458997,False,0.025126702571816647,0.01652863099769703,0.005889625550671553,0.021849853046350495
linear_norm,on_chart,0,31,False,0.02,-0.02,,,,,,21.826885407961907,1520.4826177994757,,,,,0.009367245457580914,,,0.0016559512507233582
linear_fisher,on_chart,0,31,False,0.02,-0.02,,,,,,21.826885407961907,1520.4826177994757,,,,,0.0007314902223169803,,,0.0016559512507233582
manifold,on_chart,0,31,False,0.05,0.05,0.5288814583511379,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,112.63353942055892,1520.4826177994757,0.07407749230541566,2.5493093890941487e-11,0.00826377278673653,False,0.6708948063350914,0.2658833404621323,0.15683378031243503,0.21516633771996913
linear_norm,on_chart,0,31,False,0.05,0.05,,,,,,112.63353942055892,1520.4826177994757,,,,,0.2494386958198707,,,0.10570642480679884
linear_fisher,on_chart,0,31,False,0.05,0.05,,,,,,112.63353942055892,1520.4826177994757,,,,,0.019478721667538678,,,0.10570642480679884
manifold,on_chart,0,31,False,0.05,-0.05,-0.5288814583511379,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,120.92073799699364,1520.4826177994757,0.07952786607452089,2.738121316494816e-11,0.00826377278673653,False,0.7733908207188666,0.26224650579610653,0.1807614121844543,0.22708541892472545
linear_norm,on_chart,0,31,False,0.05,-0.05,,,,,,120.92073799699364,1520.4826177994757,,,,,0.28749476560486475,,,0.11153092804126766
linear_fisher,on_chart,0,31,False,0.05,-0.05,,,,,,120.92073799699364,1520.4826177994757,,,,,0.022450528382073644,,,0.11153092804126766
manifold,on_chart,0,31,False,0.1,0.1,1.1001213579372318,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,24.7801196997247,1520.4826177994757,0.016297535670343817,5.618735953636951e-12,0.017189396217769246,False,0.032519545351134944,1.1691879931029168,0.007591208976892951,0.027736930516345962
linear_norm,on_chart,0,31,False,0.1,0.1,,,,,,24.7801196997247,1520.4826177994757,,,,,0.012073554964498537,,,0.0009488082994211541
linear_fisher,on_chart,0,31,False,0.1,0.1,,,,,,24.7801196997247,1520.4826177994757,,,,,0.0009428265166244593,,,0.0009488082994211541
manifold,on_chart,0,31,False,0.1,-0.1,-1.1001213579372318,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,2.247193875338481,1520.4826177994757,0.001477947757528949,6.663353574629133e-13,0.017189396217769246,False,0.0002693852929108995,1.0886542299231676,6.24288352813625e-05,0.0002815804594933709
linear_norm,on_chart,0,31,False,0.1,-0.1,,,,,,2.247193875338481,1520.4826177994757,,,,,9.92909003603346e-05,,,8.861997362561971e-06
linear_fisher,on_chart,0,31,False,0.1,-0.1,,,,,,2.247193875338481,1520.4826177994757,,,,,7.753647868793127e-06,,,8.861997362561971e-06
manifold,on_chart,0,31,False,0.2,0.2,3.052142479252326,True,0.22630150806513424,145.43421661271074,2.47248771881644e-05,10.52006000493823,1520.4826177994757,0.006918895278239634,2.4147263531261474e-12,0.0476897262383176,False,0.005863160483752661,9.080393523680458,0.0013681716318539698,0.005363744776389344
linear_norm,on_chart,0,31,False,0.2,0.2,,,,,,10.52006000493823,1520.4826177994757,,,,,0.0021760295953303596,,,0.0001580243877203039
linear_fisher,on_chart,0,31,False,0.2,0.2,,,,,,10.52006000493823,1520.4826177994757,,,,,0.00016992662140270226,,,0.0001580243877203039
manifold,on_chart,0,31,False,0.2,-0.2,-3.052142479252326,True,0.22630150806513424,145.43421661271074,2.47248771881644e-05,4.258054548615075,1520.4826177994757,0.002800462497083696,9.73335707743346e-13,0.0476897262383176,False,0.0009626211732789579,9.012689181068604,0.00022414372696071103,0.0010354465496591435
linear_norm,on_chart,0,31,False,0.2,-0.2,,,,,,4.258054548615075,1520.4826177994757,,,,,0.00035649283475730866,,,3.36623364749389e-05
linear_fisher,on_chart,0,31,False,0.2,-0.2,,,,,,4.258054548615075,1520.4826177994757,,,,,2.783860251467973e-05,,,3.36623364749389e-05
manifold,on_chart,0,31,False,0.4,0.4,3.052142479252326,True,0.22630150806513424,145.43421661271074,2.47248771881644e-05,10.52006000493823,1520.4826177994757,0.006918895278239634,2.4147263531261474e-12,0.0476897262383176,False,0.005863160483752661,9.080393523680458,0.0013681716318539698,0.005363744776389344
linear_norm,on_chart,0,31,False,0.4,0.4,,,,,,10.52006000493823,1520.4826177994757,,,,,0.0021760295953303596,,,0.0001580243877203039
linear_fisher,on_chart,0,31,False,0.4,0.4,,,,,,10.52006000493823,1520.4826177994757,,,,,0.00016992662140270226,,,0.0001580243877203039
manifold,on_chart,0,31,False,0.4,-0.4,-3.052142479252326,True,0.22630150806513424,145.43421661271074,2.47248771881644e-05,4.258054548615075,1520.4826177994757,0.002800462497083696,9.73335707743346e-13,0.0476897262383176,False,0.0009626211732789579,9.012689181068604,0.00022414372696071103,0.0010354465496591435
linear_norm,on_chart,0,31,False,0.4,-0.4,,,,,,4.258054548615075,1520.4826177994757,,,,,0.00035649283475730866,,,3.36623364749389e-05
linear_fisher,on_chart,0,31,False,0.4,-0.4,,,,,,4.258054548615075,1520.4826177994757,,,,,2.783860251467973e-05,,,3.36623364749389e-05
manifold,on_chart,0,38,False,0.005,0.005,0.024054945200831648,False,0.22630150806513424,387.5448949732204,2.495677864812443e-05,9.139010126841507,1864.4292901095432,0.004901773521432154,2.0734615761373528e-12,0.024054945200831623,False,0.002071209862707253,0.001042660359803702,0.0010422138700292645,0.0021012932484140634
linear_norm,on_chart,0,38,False,0.005,0.005,,,,,,9.139010126841507,1864.4292901095432,,,,,0.001642202393992304,,,0.0007388243060845367
linear_fisher,on_chart,0,38,False,0.005,0.005,,,,,,9.139010126841507,1864.4292901095432,,,,,0.0007422621498307957,,,0.0007388243060845367
manifold,on_chart,0,38,False,0.005,-0.005,-0.024054945200831648,False,0.22630150806513424,387.5448949732204,2.495677864812443e-05,9.447760698695546,1864.4292901095432,0.005067374101455169,2.1432994975037592e-12,0.024054945200831623,False,0.0022154108041668214,0.001113563720505335,0.0011138233048756019,0.0024176673837225443
linear_norm,on_chart,0,38,False,0.005,-0.005,,,,,,9.447760698695546,1864.4292901095432,,,,,0.0017550364184845985,,,0.0008591706269034517
linear_fisher,on_chart,0,38,False,0.005,-0.005,,,,,,9.447760698695546,1864.4292901095432,,,,,0.0007932622128559727,,,0.0008591706269034517
manifold,on_chart,0,38,False,0.01,0.01,0.04811337107358115,False,0.22630150806513424,387.5448949732204,2.495677864812443e-05,17.762101424998118,1864.4292901095432,0.009526830284861336,4.018025065161991e-12,0.04811337107358116,True,0.007820184606553694,0.003943414582691919,0.003936835087187511,0.008268037001861375
linear_norm,on_chart,0,38,False,0.01,0.01,,,,,,17.762101424998118,1864.4292901095432,,,,,0.006203218159772425,,,0.002733449566566867
linear_fisher,on_chart,0,38,False,0.01,0.01,,,,,,17.762101424998118,1864.4292901095432,,,,,0.002803804247263621,,,0.002733449566566867
manifold,on_chart,0,38,False,0.01,-0.01,-0.04811337107358115,False,0.22630150806513424,387.5448949732204,2.495677864812443e-05,18.990240169932186,1864.4292901095432,0.01018555129479672,4.301487910151776e-12,0.04811337107358116,True,0.008954382478304107,0.00449790163309305,0.004500071830152217,0.011242379775359117
linear_norm,on_chart,0,38,False,0.01,-0.01,,,,,,18.990240169932186,1864.4292901095432,,,,,0.007090702729187239,,,0.0037694114537511927
